date,Type,title,url,description
"November 10, 2021",Commentary,Why Won’t Major Coal-Dependent Countries Sign on to a Coal Phaseout Deal?,https://www.csis.org/analysis/why-wont-major-coal-dependent-countries-sign-coal-phaseout-deal,"At COP26 in Glasgow, coal phaseout has been extensively discussed. Although 46 countries have signed on to a coal phaseout pledge, major coal producers and consumers such as China, India, and Australia are not on board due to domestic energy and socioeconomic imperatives."
"November 10, 2021",Report,Europe's High-End Military Challenges: The Future of European Capabilities and Missions,https://www.csis.org/analysis/europes-high-end-military-challenges-future-european-capabilities-and-missions,"This joint report from CSIS’s International Security Program and Europe, Russia, and Eurasia program examines the evolution of European military capabilities over the next decade and the types of missions states will be able (and unable) to perform by 2030."
"November 10, 2021",Critical Questions,Food Insecurity among Veterans: Who Is at Risk and How to Respond,https://www.csis.org/analysis/food-insecurity-among-veterans-who-risk-and-how-respond,"Existing policies and programs are no longer sufficient to support today’s veteran population, and many veterans are going hungry. Policymakers can develop data-driven solutions to better address food insecurity for those at highest risk in the veteran community."
"November 9, 2021",Newsletter,"The Evening: Boosters, Migrant Crisis at Polish Border, Crescent City, and More",https://www.csis.org/analysis/evening-boosters-migrant-crisis-polish-border-crescent-city-and-more,"This edition of CSIS's nightly newsletter covers Boosters, Migrant Crisis at Polish Border, Crescent City, and More."
"November 9, 2021",Commentary,Biden Administration Should Preserve Strong Patent Protection for Standardized Technology,https://www.csis.org/analysis/biden-administration-should-preserve-strong-patent-protection-standardized-technology,"It’s fine to revisit policies, but we must be careful about tinkering with the most powerful engine for our nation’s innovation economy: the U.S. patent system."
"November 9, 2021",Report,Influence and Escalation: Implications of Russian and Chinese Influence Operations for Crisis Management,https://www.csis.org/analysis/influence-and-escalation-implications-russian-and-chinese-influence-operations-crisis,"Technology-enabled influence operations, including disinformation, will likely figure prominently in adversary efforts to impede U.S. crisis response and alliance management in high-risk, high-impact scenarios under a nuclear shadow."
"November 9, 2021",Transcript,"An Armchair Discussion with David Malpass,  President of the World Bank Group",https://www.csis.org/analysis/armchair-discussion-david-malpass-president-world-bank-group,"Mr. Malpass shared insights on the direction and goals of the World Bank Group in a post-Covid-19 world. The conversation was moderated by Daniel Runde, senior vice president and director of the Project on Prosperity and Development."
"November 9, 2021",Commentary,Hydrogel: A Promising Solution for Water Scarcity in the Middle East?,https://www.csis.org/analysis/hydrogel-promising-solution-water-scarcity-middle-east,"Lyse Mauvais and Will Todman write about the politics, promises, and pitfalls of using hydrogel technology to address Jordan’s ongoing water crisis."
"November 9, 2021",Commentary,Signs Point to China's Third Aircraft Carrier Launching Soon,https://www.csis.org/analysis/signs-point-chinas-third-aircraft-carrier-launching-soon,"Steady progress on the construction of China’s third aircraft carrier has continued throughout 2021, and the vessel may be launched in the coming months."
"November 8, 2021",Newsletter,"The Evening: U.S. Opens Borders to Vaccinated, China Mock-Ups, Time is On My Side, and More",https://www.csis.org/analysis/evening-us-opens-borders-vaccinated-china-mock-ups-time-my-side-and-more,"This edition of CSIS's nightly newsletter covers the U.S. Opens Borders to Vaccinated, China Mock-Ups, Time is On My Side, and More."
"November 8, 2021",Interactive, Current Status of the Pyongsan Uranium Concentrate Plant (Nam-chon Chemical Complex) and January Industrial Mine,https://beyondparallel.csis.org/current-status-of-the-pyongsan-uranium-concentrate-plant-nam-chon-chemical-complex-and-january-industrial-mine/,"Commercial satellite imagery collected from April through October 2021 continues to demonstrate that the Pyongsan Uranium Concentrate Plant remains operational, continues to be maintained, and is producing uranium concentrate (U3O8, “yellowcake”)."
"November 8, 2021",Commentary,Digital Trade: More Questions Than Answers,https://www.csis.org/analysis/digital-trade-more-questions-answers,"In this week's column, the Scholl Chair comments on USTR Katherine Tai's recent speech on digital trade. What are the priorities for the Biden administration to consider?"
